MD,Inc,Azi
418,0.28,4.43
419,0.27,4.23
420,0.27,4.59
421,0.26,4.59
422,0.25,0.54
423,0.24,353.79
424,0.23,357.05
425,0.23,0.31
426,0.22,4.25
427,0.21,1.52
428,0.2,351.76
429,0.2,351.44
430,0.2,350.75
431,0.19,355.79
432,0.18,7.42
433,0.18,10.35
434,0.17,14.82
435,0.17,16.64
436,0.16,21.64
437,0.16,24.41
438,0.16,26.61
439,0.15,29.38
440,0.15,32.53
441,0.15,35.01
442,0.15,37.61
443,0.15,40.9
444,0.14,43.03
445,0.14,44.45
446,0.14,45.77
447,0.14,46.85
448,0.14,48.05
449,0.14,50.43
450,0.15,51.82
451,0.15,52.48
452,0.15,54.32
453,0.15,55.2
454,0.15,55.37
455,0.15,55.69
456,0.15,55.8
457,0.15,56.23
458,0.15,56.33
459,0.15,56.81
460,0.15,56.81
461,0.15,57.11
462,0.16,57.27
463,0.16,56.14
464,0.16,55.75
465,0.16,55.19
466,0.17,55.16
467,0.17,55.4
468,0.17,55.37
469,0.17,55.6
470,0.18,55.3
471,0.19,54.88
472,0.19,54.2
473,0.2,53.41
474,0.2,53.72
475,0.2,54.05
476,0.21,54.16
477,0.22,53.87
478,0.22,53.58
479,0.23,53.43
480,0.24,53.44
481,0.24,53.25
482,0.24,53.21
483,0.24,53.27
484,0.24,53.55
485,0.25,53.14
486,0.25,52.36
487,0.26,51.98
488,0.26,51.56
489,0.26,51.64
490,0.26,51.11
491,0.26,50.51
492,0.27,50.17
493,0.27,49.35
494,0.28,48.67
495,0.28,48.17
496,0.28,47.9
497,0.28,47.93
498,0.28,48.22
499,0.28,48.53
500,0.28,48.22
501,0.27,48.62
502,0.27,49.05
503,0.27,49.79
504,0.26,50.97
505,0.26,52.21
506,0.26,53.41
507,0.25,54.41
508,0.25,55.45
509,0.25,56.05
510,0.25,57.17
511,0.25,58.58
512,0.25,59.81
513,0.25,60.98
514,0.25,61.87
515,0.25,63.06
516,0.26,63.88
517,0.26,64.53
518,0.26,65.89
519,0.27,67.22
520,0.27,68.93
521,0.28,69.96
522,0.28,70.89
523,0.29,72.07
524,0.29,73.18
525,0.29,74.29
526,0.3,75.27
527,0.3,77.02
528,0.3,79.38
529,0.3,81.21
530,0.3,82.91
531,0.3,84.53
532,0.3,86.7
533,0.31,88.78
534,0.31,90.67
535,0.31,92.97
536,0.32,95.4
537,0.32,97.62
538,0.33,99.1
539,0.34,99.41
540,0.34,99.7
541,0.35,100.09
542,0.35,100.6
543,0.36,100.9
544,0.37,101.51
545,0.37,101.86
546,0.38,101.48
547,0.38,101.01
548,0.38,100.68
549,0.39,100.67
550,0.39,101.26
551,0.4,102.01
552,0.4,102.64
553,0.41,102.93
554,0.41,103.23
555,0.42,103.1
556,0.42,103.38
557,0.42,103.95
558,0.43,104.39
559,0.44,104.63
560,0.44,104.65
561,0.45,104.76
562,0.45,104.63
563,0.46,104.56
564,0.46,104.6
565,0.47,104.53
566,0.48,104.45
567,0.48,104
568,0.49,103.79
569,0.49,103.62
570,0.5,103.5
571,0.51,103.48
572,0.51,103.31
573,0.52,103.14
574,0.52,102.76
575,0.53,102.3
576,0.53,101.68
577,0.53,101.3
578,0.53,101.11
579,0.53,100.35
580,0.54,99.35
581,0.54,98.57
582,0.54,97.81
583,0.53,97.08
584,0.53,96.42
585,0.53,95.99
586,0.53,95.82
587,0.53,95.9
588,0.53,95.98
589,0.53,95.86
590,0.53,96.34
591,0.53,97.23
592,0.54,97.95
593,0.54,98.7
594,0.55,99.53
595,0.57,100.47
596,0.58,101.35
597,0.59,102.09
598,0.6,102.85
599,0.62,103.63
600,0.62,104.73
601,0.63,105.61
602,0.65,106.48
603,0.66,107.45
604,0.68,108.37
605,0.69,109.03
606,0.7,109.72
607,0.71,110.53
608,0.72,111.24
609,0.73,111.96
610,0.74,112.58
611,0.75,113.03
612,0.77,113.54
613,0.78,113.89
614,0.79,114.06
615,0.8,114.35
616,0.81,114.85
617,0.82,115.17
618,0.82,115.39
619,0.83,115.69
620,0.85,115.83
621,0.86,115.93
622,0.86,115.89
623,0.87,115.74
624,0.88,115.56
625,0.88,115.41
626,0.89,115.14
627,0.9,114.82
628,0.9,114.63
629,0.9,114.36
630,0.9,114.1
631,0.89,113.88
632,0.89,113.74
633,0.88,113.81
634,0.88,114.03
635,0.87,114.36
636,0.87,114.77
637,0.86,115.17
638,0.86,115.47
639,0.86,115.62
640,0.86,115.92
641,0.86,116.15
642,0.88,116.39
643,0.88,116.53
644,0.89,116.53
645,0.9,116.22
646,0.91,115.82
647,0.92,115.38
648,0.93,114.86
649,0.93,114.45
650,0.94,114.08
651,0.94,113.64
652,0.94,113.23
653,0.94,112.83
654,0.94,112.57
655,0.93,112.43
656,0.93,112.57
657,0.92,112.76
658,0.92,113.08
659,0.92,113.68
660,0.91,114.33
661,0.92,115.11
662,0.92,115.95
663,0.92,116.89
664,0.92,117.84
