Operator Name:,Pioneer
Operator Number:
Well Name:,37-12
Well Number:,3712
API Number:
Location:
Citing Type:,Actual
Deviation Indicator:,Directional
North Reference:,TRUE
Grid Type:
Units:,PetroImperial
Optional:,MultiWell

Site Location:
Site Northing:,0
Site Easting:,0
Tie Point:,0

Wellhead:
RKB:,0
Wellhead Northing:,1018
Wellhead Easting:,-1044
Ground Level:,4909

MD,Inc,Azi
0,0,24.2
20,0.0001,24.2
153,0.4,24.2
246,0.4,356
341,0.7,4.5
434,0.4,272.7
527,0.6,263.6
620,1.1,243.5
713,0.9,243.5
806,1,248.1
848,0.8,249.9
932,0.9,265.3
976,1.2,260.8
1019,2.2,249
1065,2.6,237.6
1110,2.6,227
1155,3.4,218.2
1201,4.3,217.5
1246,4.8,220.3
1291,6,217.5
1337,7.1,211.2
1382,7.7,206.6
1427,8.4,203.8
1473,9.6,203.4
1518,10.5,201.7
1562,11.3,196.1
1607,12.1,193.6
1652,12.7,193.6
1698,12.7,196.4
1787,12.8,194.7
1877,12.9,193.6
1967,13.7,195
2058,13.6,197.5
2149,12.5,195
2238,12.4,194.7
2328,12.6,196.1
2419,14.1,197.5
2509,13.7,193.6
2598,13,189.4
2687,12.9,190.8
2778,13.1,192.2
2869,12.5,192.6
2960,12.9,194.3
3049,13,191.8
3139,13.1,192.2
3230,13.6,191.5
3318,12.9,188.7
3410,13.2,190.8
3500,12,192.9
3589,12,196.1
3680,12,198.2
3770,12.7,194.7
3861,12.4,190.83
3952,13.5,198.2
4042,12.7,198.9
4133,14.1,197.1
4224,13.5,194.3
4313,12.5,195
4403,14.3,195
4494,13.8,192.9
4584,13.5,194.7
4675,14.1,194.7
4764,13.6,193.6
4854,14,192.6
4943,12.6,194
5034,13.4,195.4
5123,12,191.5
5212,12,195
5257,11.5,193.6
5303,11.3,194
5348,10.5,194.7
5393,9.7,197.5
5438,8.9,197.5
5484,8,198.9
5529,7,198.5
5573,6.2,197.8
5618,5.3,198.2
5663,4.8,199.6
5706,4.4,201.3
5752,4,201
5797,3.7,196.1
5842,3.3,195.7
5888,3,194.7
5932,2.6,192.6
6022,2.1,181.7
6113,1.9,172.5
6203,1.9,166.5
6292,1.6,119.1
6383,0.7,146.8
6472,0.8,133.8
6562,0.8,131.4
6652,0.8,133.8
6743,1.1,113.8
6830,1.1,76.2
6921,1.2,54.7
7011,1.2,43.5
7102,1.1,50.2
7192,1,62.8
7282,1,63.9
7360,0.8,62.8
7406,0.80001,62.8
