MD,Inc,Azi,TVD,NS,EW,Section,DLS,Build,Turn,Rugosity,Target 
0,0.38,203.28,0,0,0,-0.0,0,0,0,nan,185
100,0.38,203.28,99.99780067029094,-0.6092237765902273,-0.26212114527090896,0.6297508592965674,5.729577951308233e-09,0.0,0.0,nan,185
101,0.38,203.28,100.99777867699385,-0.6153160143561296,-0.26474235672361807,0.6360483678895331,5.729577951308232e-07,0.0,0.0,nan,185
102,0.37,203.14,101.99775725741007,-0.6213312015273745,-0.2673218280371709,0.6422654811957859,1.0041884280444706,-1.0000000000000024,-14.000000000001675,nan,185
103,0.37,203.09,102.99773640642279,-0.627270444236612,-0.2698569677146952,0.6484030752749719,0.0322883377025202,0.0,-4.9999999999971445,nan,185
104,0.37,203.03000000000003,103.99771555543667,-0.6332121175195968,-0.2723864048554089,0.654542593670007,0.038745993955232115,0.0,-5.999999999999626,nan,185
105,0.37,202.97,104.99769470445055,-0.6391564363645905,-0.27490961850462886,0.6606842051468654,0.038745993955232115,0.0,-6.000000000002171,nan,185
106,0.36,202.91,105.9976744119258,-0.6450230132351562,-0.277392635090432,0.6667448670760612,1.000730071684204,-1.0000000000000024,-5.999999999999626,nan,185
107,0.36,202.86,106.99765467278445,-0.6508115930869532,-0.27983604129396683,0.6727243765164054,0.031415737975909276,0.0,-4.9999999999971445,nan,185
108,0.36,202.8,107.99763493364419,-0.6566025155304267,-0.28227388963273026,0.6787057352343251,0.03769881983011675,0.0,-6.000000000002171,nan,185
109,0.35,202.74,108.99761573773473,-0.6623155061611412,-0.28467194019848757,0.6846059900890957,1.0006906245314429,-0.9999999999999974,-5.999999999999626,nan,185
110,0.35,202.68,109.9975970799792,-0.667950523316694,-0.28703027461088926,0.6904251066904737,0.03665165839631085,0.0,-5.999999999999626,nan,185
111,0.35,202.63,110.99757842222263,-0.673587801950287,-0.28938319880795443,0.6962460046329493,0.030543028775535695,0.0,-5.000000000002233,nan,185
112,0.35,202.57,111.9975597644671,-0.6792273363951286,-0.29173071042444065,0.7020686780651498,0.03665165839631085,0.0,-5.999999999999626,nan,185
113,0.34,202.51,112.99754163471178,-0.6847887096625751,-0.29403890615932443,0.7078100611419699,1.0006522685056554,-0.9999999999999974,-5.999999999999626,nan,185
114,0.34,202.45,113.9975240278798,-0.6902718805957547,-0.2963078678726379,0.713470119997724,0.035604510773603666,0.0,-5.999999999999626,nan,185
115,0.34,202.4,114.99750642104685,-0.6957572272789528,-0.29857156516994204,0.7191318875000235,0.029670446117600044,0.0,-4.999999999999689,nan,185
116,0.33,202.34,115.99748932698448,-0.7011640289497834,-0.3007968261926704,0.7247120589353818,1.0006150073747255,-1.0000000000000024,-5.999999999999626,nan,185
117,0.33,202.28,116.99747274061485,-0.7064924426676938,-0.30298325441252744,0.7302107562058696,0.03455737821749488,0.0,-5.999999999999626,nan,185
118,0.33,202.22,117.99745615424523,-0.711823143085834,-0.3051641015327638,0.7357112450501195,0.03455737821749488,0.0,-6.000000000002171,nan,185
119,0.32,202.17,118.9974400654137,-0.7170751213432555,-0.3073069006513944,0.7411299951933992,1.0004020095187027,-0.9999999999999974,-4.999999999999689,nan,185
120,0.32,202.11,119.9974244690452,-0.722248337612695,-0.3094117342160591,0.7464669741457854,0.03351015337809513,0.0,-5.999999999997082,nan,185
121,0.32,202.05000000000004,120.9974088726767,-0.7274237552217534,-0.3115111492482008,0.7518056738048019,0.03351015337809513,0.0,-5.999999999999626,nan,185
