MD,Inc,Azi,TVD,NS,EW,Section,DLS,Build,Turn,Rugosity,Target 
0,0.38,203.28,0.0,0.0,0.0,-0.0,46.28755052010278,21.768073549006388,0.8078529835370319,-5.832124489938648e-16,185
100,0.38,203.28,100.07517838394546,9.862737872141974,5.3183681997704895,-10.28873350755302,0.45829257940695456,-0.21552548068322966,0.007998544391455698,0.0,185
101,0.38,203.28,101.07515623816876,9.856624998451647,5.31573599147113,-10.282414483123217,0.46287550520102416,0.21768073549006206,0.008078529835370255,2.916062244969339e-14,185
102,0.37,203.14,102.0751348376835,9.850612865838494,5.3131578079166415,-10.276200524987136,0.3330326878179815,0.16695143201422394,0.005812394083329161,-11.36197885888856,185
103,0.37,203.09,103.0751140525402,9.844682593964631,5.310627218334094,-10.270072264173496,0.06638875087290999,-0.012293535905049826,0.0011586781161617662,97.53655415959709,185
104,0.37,203.03000000000003,104.07509320208234,9.838741170307722,5.308097607607359,-10.263932979325615,0.07527216890045245,-0.005455344018782471,0.0013137237273924713,-107.38828229278559,185
105,0.37,202.97,105.07507228311756,9.832786989617313,5.305570277729962,-10.257781184777716,0.35041725373235405,0.15669801634861308,0.006115811212332445,12.354235666854935,185
106,0.36,202.91,106.07505198145651,9.826919416741697,5.303086912860137,-10.25171950027862,0.3916842570908089,0.17041845298757857,0.006836042024789064,-7.2008486493708785,185
107,0.36,202.86,107.07503233666412,9.82114455530793,5.30064930939301,-10.245754162795384,0.19656957148620222,-0.058172665890144165,0.00343071916520288,2.7292161734977483,185
108,0.36,202.8,108.07501250467003,9.815339925010147,5.298205624654577,-10.23975863970993,0.3918886025339079,0.1717445732097657,0.006839615072151064,10.147160978658322,185
109,0.35,202.74,109.07499331292182,9.809627910183796,5.295807997000067,-10.233859393805435,0.35003976878299164,0.15508478459121455,0.006109229670587248,-13.071992914794782,185
110,0.35,202.68,110.0749747212003,9.804002676906526,5.293453848182657,-10.22805038865037,0.07228951239676044,-0.009801188881730467,0.0012616669626083538,79.62260205253311,185
111,0.35,202.63,111.07495606293466,9.798365404439402,5.291100911666479,-10.222229495777215,0.07246609015676432,-0.009315893542969194,0.0012647509345281493,-80.89851789263558,185
112,0.35,202.57,112.07493734116508,9.792716058617096,5.2887492625488655,-10.216396687695822,0.35017221314538943,0.15367548646918217,0.006111547676178761,12.997809803106378,185
113,0.34,202.51,113.0749192026863,9.787153716205887,5.286440677490068,-10.21065430523131,0.39122074983588173,0.16901261775351387,0.00682796718914285,-9.455809387721676,185
114,0.34,202.45,114.07490168458858,9.78168421271748,5.2841774515328925,-10.205008361715661,0.19413127615658704,-0.05693990201517033,0.0033881707579634344,-1.6723658273053104,185
115,0.34,202.4,115.07488399171612,9.776185354448264,5.281908185340703,-10.199332648681835,0.3828571796576915,0.16243934009103603,0.006682003794387349,7.111777646048997,185
116,0.33,202.34,116.07486689540814,9.77077857130248,5.2796828782149525,-10.19375249168289,0.3829724343445014,0.16425573044043026,0.00668401659062117,-8.566075384733857,185
117,0.33,202.28,117.074850393889,9.765463673668846,5.277502005066209,-10.188267743220248,0.19432151544686702,-0.05457894199383609,0.003391494667637256,0.8256421786072187,185
118,0.33,202.22,118.074833722922,9.760119227722091,5.275315609619033,-10.18275307758471,0.39104503288857156,0.16399005318248716,0.006824913367965427,8.989798215892638,185
119,0.32,202.17,119.07481763757355,9.754868211071136,5.273173215288813,-10.177335320668329,0.3499712894885513,0.14804416402016563,0.006108053268630737,-11.335460321800763,185
